#cluster	accession	definition	organism	taxid	length
CLSP2513525	YP_001498197	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	101
CLSP2513524	YP_001498195	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	129
CLSP2513523	YP_001498193	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	69
CLSP2513522	YP_001498182	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	115
CLSP2513521	YP_001498181	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	74
CLSP2513520	YP_001498180	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	75
CLSP2513519	YP_001498179	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	177
CLSP2513518	YP_001498178	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	75
CLSP2513517	YP_001498176	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	73
CLSP2513516	YP_001498173	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	90
CLSP2513515	YP_001498437	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	233
CLSP2513514	YP_001498169	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	99
CLSP2513513	YP_001498167	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	90
CLSP2513512	YP_001498166	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	103
CLSP2513511	YP_001498165	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	72
CLSP2513510	YP_001498164	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	73
CLSP2513509	YP_001498163	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	253
CLSP2513508	YP_001498162	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	67
CLSP2513507	YP_001498161	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	101
CLSP2513506	YP_001498160	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	210
CLSP2513505	YP_001498159	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	81
CLSP2513504	YP_001498158	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	85
CLSP2513503	YP_001498156	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	142
CLSP2513502	YP_001498155	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	334
CLSP2513501	YP_001497281	hypothetical protein	Paramecium bursaria Chlorella virus NY2A	46021	114
CLSP2513500	YP_001497280	hypothetical protein	Paramecium bursaria Chlorella virus NY2A	46021	93
CLSP2513499	YP_001497278	hypothetical protein	Paramecium bursaria Chlorella virus NY2A	46021	67
CLSP2513498	YP_001497277	hypothetical protein	Paramecium bursaria Chlorella virus NY2A	46021	86
CLSP2513497	YP_001497276	hypothetical protein	Paramecium bursaria Chlorella virus NY2A	46021	645
CLSP2513496	YP_001498147	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	97
CLSP2513494	YP_001497796	hypothetical protein	Paramecium bursaria Chlorella virus NY2A	46021	79
CLSP2513493	YP_001498474	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	85
CLSP2513492	YP_001498622	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	86
CLSP2513491	YP_001498131	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	90
CLSP2513490	YP_001498129	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	134
CLSP2513489	YP_001498128	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	66
CLSP2513488	YP_001497252	hypothetical protein	Paramecium bursaria Chlorella virus NY2A	46021	124
CLSP2513487	YP_001498124	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	81
CLSP2513486	YP_001498123	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	117
CLSP2513485	YP_001497246	hypothetical protein	Paramecium bursaria Chlorella virus NY2A	46021	144
CLSP2513484	YP_001497238	hypothetical protein	Paramecium bursaria Chlorella virus NY2A	46021	93
CLSP2513483	YP_001498118	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	418
CLSP2513481	YP_001498115	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	93
CLSP2513480	YP_001498114	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	65
CLSP2513479	YP_001498112	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	66
CLSP2513478	YP_001498111	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	231
CLSP2513477	YP_001498110	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	81
CLSP2513476	YP_001498108	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	162
CLSP2513475	YP_001498107	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	78
CLSP2513474	YP_001498106	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	360
CLSP2513473	YP_001498105	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	85
CLSP2513472	YP_001497219	hypothetical protein	Paramecium bursaria Chlorella virus NY2A	46021	93
CLSP2513471	YP_001498473	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	412
CLSP2513470	YP_001498099	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	74
CLSP2513469	YP_001498103	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	532
CLSP2513468	YP_001498294	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	382
CLSP2513467	YP_001498092	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	74
CLSP2513466	YP_001498091	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	67
CLSP2513465	YP_001498593	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	352
CLSP2513464	YP_001497199	hypothetical protein	Paramecium bursaria Chlorella virus NY2A	46021	78
CLSP2513463	YP_001498086	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	74
CLSP2513462	YP_001497197	hypothetical protein	Paramecium bursaria Chlorella virus NY2A	46021	93
CLSP2513460	YP_001469515	hypothetical protein	Enterobacteria phage Phi1	448384	54
CLSP2513457	YP_002939690	hypothetical protein	Staphylococcus phage phiPVL-CN125	648017	135
CLSP2513456	YP_001427264	hypothetical protein	Acanthocystis turfacea Chlorella virus 1	322019	264
CLSP2513455	YP_001427094	hypothetical protein	Acanthocystis turfacea Chlorella virus 1	322019	72
CLSP2513454	YP_001427091	hypothetical protein	Acanthocystis turfacea Chlorella virus 1	322019	183
CLSP2513453	YP_001498375	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	96
CLSP2513452	YP_001427023	hypothetical protein	Acanthocystis turfacea Chlorella virus 1	322019	82
CLSP2513451	YP_001427017	hypothetical protein	Acanthocystis turfacea Chlorella virus 1	322019	93
CLSP2513450	YP_001426989	hypothetical protein	Acanthocystis turfacea Chlorella virus 1	322019	211
CLSP2513449	YP_001497993	hypothetical protein	Paramecium bursaria Chlorella virus NY2A	46021	184
CLSP2513447	YP_001426860	hypothetical protein	Acanthocystis turfacea Chlorella virus 1	322019	88
CLSP2513446	YP_001426812	hypothetical protein	Acanthocystis turfacea Chlorella virus 1	322019	80
CLSP2513445	YP_001498679	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	85
CLSP2513444	YP_001426789	hypothetical protein	Acanthocystis turfacea Chlorella virus 1	322019	73
CLSP2513443	YP_001427132	hypothetical protein	Acanthocystis turfacea Chlorella virus 1	322019	740
CLSP2513442	YP_001426660	hypothetical protein	Acanthocystis turfacea Chlorella virus 1	322019	284
CLSP2513441	YP_001426647	hypothetical protein	Acanthocystis turfacea Chlorella virus 1	322019	459
CLSP2513440	YP_001497809	hypothetical protein	Paramecium bursaria Chlorella virus NY2A	46021	85
CLSP2513439	YP_001426490	hypothetical protein	Acanthocystis turfacea Chlorella virus 1	322019	168
CLSP2513438	YP_001426818	hypothetical protein	Acanthocystis turfacea Chlorella virus 1	322019	85
CLSP2513437	YP_001426484	hypothetical protein	Acanthocystis turfacea Chlorella virus 1	322019	86
CLSP2513435	YP_001426505	hypothetical protein	Acanthocystis turfacea Chlorella virus 1	322019	153
CLSP2513434	YP_001427317	hypothetical protein	Acanthocystis turfacea Chlorella virus 1	322019	156
CLSP2513433	YP_001426790	hypothetical protein	Acanthocystis turfacea Chlorella virus 1	322019	192
CLSP2513432	YP_001426437	hypothetical protein	Paramecium bursaria Chlorella virus FR483	399781	228
CLSP2513431	YP_001426435	hypothetical protein	Paramecium bursaria Chlorella virus FR483	399781	252
CLSP2513430	YP_001426426	hypothetical protein	Paramecium bursaria Chlorella virus FR483	399781	170
CLSP2513429	YP_001427297	hypothetical protein	Acanthocystis turfacea Chlorella virus 1	322019	216
CLSP2513428	YP_001426399	hypothetical protein	Paramecium bursaria Chlorella virus FR483	399781	321
CLSP2513427	YP_001426579	hypothetical protein	Acanthocystis turfacea Chlorella virus 1	322019	135
CLSP2513426	YP_001426578	hypothetical protein	Acanthocystis turfacea Chlorella virus 1	322019	157
CLSP2513425	YP_001497557	hypothetical protein	Paramecium bursaria Chlorella virus NY2A	46021	550
CLSP2513424	YP_001426375	hypothetical protein	Paramecium bursaria Chlorella virus FR483	399781	182
CLSP2513423	YP_001427155	hypothetical protein	Acanthocystis turfacea Chlorella virus 1	322019	304
CLSP2513422	YP_001426366	hypothetical protein	Paramecium bursaria Chlorella virus FR483	399781	84
CLSP2513421	YP_001498348	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	83
CLSP2513420	YP_001498701	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	182
CLSP2513419	YP_001426323	hypothetical protein	Paramecium bursaria Chlorella virus FR483	399781	83
CLSP2513418	YP_001427008	hypothetical protein	Acanthocystis turfacea Chlorella virus 1	322019	364
CLSP2513417	YP_001426313	hypothetical protein	Paramecium bursaria Chlorella virus FR483	399781	75
CLSP2513416	YP_001426551	hypothetical protein	Acanthocystis turfacea Chlorella virus 1	322019	97
CLSP2513415	YP_001426307	hypothetical protein	Paramecium bursaria Chlorella virus FR483	399781	176
CLSP2513414	YP_001426545	hypothetical protein	Acanthocystis turfacea Chlorella virus 1	322019	80
CLSP2513413	YP_001426298	hypothetical protein	Paramecium bursaria Chlorella virus FR483	399781	291
CLSP2513412	YP_001426292	hypothetical protein	Paramecium bursaria Chlorella virus FR483	399781	67
CLSP2513411	YP_001426528	hypothetical protein	Acanthocystis turfacea Chlorella virus 1	322019	260
CLSP2513410	YP_001497839	hypothetical protein	Paramecium bursaria Chlorella virus NY2A	46021	80
CLSP2513409	NP_477712	wsv190	Shrimp white spot syndrome virus	92652	85
CLSP2513408	YP_001427229	hypothetical protein	Acanthocystis turfacea Chlorella virus 1	322019	153
CLSP2513407	YP_001426275	hypothetical protein	Paramecium bursaria Chlorella virus FR483	399781	562
CLSP2513406	YP_001426774	hypothetical protein	Acanthocystis turfacea Chlorella virus 1	322019	137
CLSP2513405	YP_001426798	hypothetical protein	Acanthocystis turfacea Chlorella virus 1	322019	90
CLSP2513404	YP_001426874	hypothetical protein	Acanthocystis turfacea Chlorella virus 1	322019	380
CLSP2513403	YP_001427048	hypothetical protein	Acanthocystis turfacea Chlorella virus 1	322019	87
CLSP2513402	YP_001426339	hypothetical protein	Paramecium bursaria Chlorella virus FR483	399781	149
CLSP2513401	YP_001498804	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	134
CLSP2513400	YP_001426233	hypothetical protein	Paramecium bursaria Chlorella virus FR483	399781	70
CLSP2513399	YP_001426884	hypothetical protein	Acanthocystis turfacea Chlorella virus 1	322019	313
CLSP2513398	YP_001426227	hypothetical protein	Paramecium bursaria Chlorella virus FR483	399781	90
CLSP2513397	YP_001426223	hypothetical protein	Paramecium bursaria Chlorella virus FR483	399781	82
CLSP2513396	YP_001426922	hypothetical protein	Acanthocystis turfacea Chlorella virus 1	322019	209
CLSP2513395	YP_001497978	hypothetical protein	Paramecium bursaria Chlorella virus NY2A	46021	94
CLSP2513394	YP_001498792	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	80
CLSP2513393	YP_001426172	hypothetical protein	Paramecium bursaria Chlorella virus FR483	399781	315
CLSP2513391	YP_001426979	hypothetical protein	Acanthocystis turfacea Chlorella virus 1	322019	95
CLSP2513390	YP_001426977	hypothetical protein	Acanthocystis turfacea Chlorella virus 1	322019	85
CLSP2513389	YP_001426138	hypothetical protein	Paramecium bursaria Chlorella virus FR483	399781	205
CLSP2513388	YP_001426625	hypothetical protein	Acanthocystis turfacea Chlorella virus 1	322019	384
CLSP2513387	YP_001426127	hypothetical protein	Paramecium bursaria Chlorella virus FR483	399781	97
CLSP2513386	YP_001498597	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	79
CLSP2513385	YP_001497960	hypothetical protein	Paramecium bursaria Chlorella virus NY2A	46021	190
CLSP2513384	YP_001426103	hypothetical protein	Paramecium bursaria Chlorella virus FR483	399781	293
CLSP2513383	YP_001426100	hypothetical protein	Paramecium bursaria Chlorella virus FR483	399781	91
CLSP2513382	YP_001426894	hypothetical protein	Acanthocystis turfacea Chlorella virus 1	322019	112
CLSP2513381	YP_001426069	hypothetical protein	Paramecium bursaria Chlorella virus FR483	399781	78
CLSP2513380	YP_001426037	hypothetical protein	Paramecium bursaria Chlorella virus FR483	399781	93
CLSP2513379	YP_001426033	hypothetical protein	Paramecium bursaria Chlorella virus FR483	399781	96
CLSP2513378	YP_001498553	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	88
CLSP2513377	YP_001498552	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	96
CLSP2513376	YP_001426026	hypothetical protein	Paramecium bursaria Chlorella virus FR483	399781	82
CLSP2513375	YP_001427115	hypothetical protein	Acanthocystis turfacea Chlorella virus 1	322019	71
CLSP2513374	YP_001426023	hypothetical protein	Paramecium bursaria Chlorella virus FR483	399781	248
CLSP2513373	YP_001426750	hypothetical protein	Acanthocystis turfacea Chlorella virus 1	322019	99
CLSP2513372	YP_001498216	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	482
CLSP2513371	YP_001425993	hypothetical protein	Paramecium bursaria Chlorella virus FR483	399781	93
CLSP2513370	YP_001426591	hypothetical protein	Acanthocystis turfacea Chlorella virus 1	322019	160
CLSP2513369	YP_001426588	hypothetical protein	Acanthocystis turfacea Chlorella virus 1	322019	187
CLSP2513368	YP_001426728	hypothetical protein	Acanthocystis turfacea Chlorella virus 1	322019	118
CLSP2513367	YP_001426729	hypothetical protein	Acanthocystis turfacea Chlorella virus 1	322019	70
CLSP2513366	YP_001425960	hypothetical protein	Paramecium bursaria Chlorella virus FR483	399781	136
CLSP2513365	YP_001425958	hypothetical protein	Paramecium bursaria Chlorella virus FR483	399781	137
CLSP2513364	YP_001498461	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	120
CLSP2513363	YP_001425943	hypothetical protein	Paramecium bursaria Chlorella virus FR483	399781	148
CLSP2513362	YP_001427258	hypothetical protein	Acanthocystis turfacea Chlorella virus 1	322019	88
CLSP2513361	YP_001426630	hypothetical protein	Acanthocystis turfacea Chlorella virus 1	322019	310
CLSP2513360	YP_001425913	hypothetical protein	Paramecium bursaria Chlorella virus FR483	399781	94
CLSP2513359	YP_001498747	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	122
CLSP2513358	YP_001425899	hypothetical protein	Paramecium bursaria Chlorella virus FR483	399781	282
CLSP2513357	YP_001425881	hypothetical protein	Paramecium bursaria Chlorella virus FR483	399781	135
CLSP2513356	YP_001425873	hypothetical protein	Paramecium bursaria Chlorella virus FR483	399781	87
CLSP2513355	YP_001427074	hypothetical protein	Acanthocystis turfacea Chlorella virus 1	322019	166
CLSP2513354	YP_001427073	hypothetical protein	Acanthocystis turfacea Chlorella virus 1	322019	83
CLSP2513353	YP_001427078	hypothetical protein	Acanthocystis turfacea Chlorella virus 1	322019	166
CLSP2513352	YP_001425856	hypothetical protein	Paramecium bursaria Chlorella virus FR483	399781	223
CLSP2513351	YP_001427113	hypothetical protein	Acanthocystis turfacea Chlorella virus 1	322019	151
CLSP2513350	YP_001425846	hypothetical protein	Paramecium bursaria Chlorella virus FR483	399781	95
CLSP2513349	YP_001425840	hypothetical protein	Paramecium bursaria Chlorella virus FR483	399781	83
CLSP2513348	YP_001425836	hypothetical protein	Paramecium bursaria Chlorella virus FR483	399781	88
CLSP2513347	YP_001425832	hypothetical protein	Paramecium bursaria Chlorella virus FR483	399781	77
CLSP2513346	YP_001427137	hypothetical protein	Acanthocystis turfacea Chlorella virus 1	322019	321
CLSP2513345	YP_001498263	hypothetical protein	Paramecium bursaria Chlorella virus AR158	380598	72
CLSP2513344	YP_001426449	hypothetical protein	Paramecium bursaria Chlorella virus FR483	399781	74
CLSP2513343	YP_001427173	hypothetical protein	Acanthocystis turfacea Chlorella virus 1	322019	367
CLSP2513342	YP_001425812	hypothetical protein	Paramecium bursaria Chlorella virus FR483	399781	502
